id_procedimiento,procedimiento_numero,id_acta_apertura,fecha_creacion,cantidad_ofertas_confirmadas,id_oferta,id_proveedor,razon_social
11365,46/1-0064-LPU22,9631,2022-06-09T14:00:00,2,26360,11706,Vialmani S.A.
11365,46/1-0064-LPU22,9631,2022-06-09T14:00:00,2,26351,12255,EMPRESA CONSTRUCTORA DELTA S.A.
11366,46/4-0065-LPU22,9634,2022-06-15T12:00:00,5,27413,11542,DIEGO MARTIN BENEDETTI
11366,46/4-0065-LPU22,9634,2022-06-15T12:00:00,5,27414,11814,OSHI S.A.
11366,46/4-0065-LPU22,9634,2022-06-15T12:00:00,5,27415,14070,CONSTRUCTORA VIAL FUEGUINA S.A.
11366,46/4-0065-LPU22,9634,2022-06-15T12:00:00,5,27417,11974,Prat S.R.L.
11366,46/4-0065-LPU22,9634,2022-06-15T12:00:00,5,27419,11808,SUDELCO S.A.
11367,46/11-0069-LPU22,9828,2023-04-28T12:00:00,2,28900,12231,OIKOS SA
11367,46/11-0069-LPU22,9828,2023-04-28T12:00:00,2,28876,13881,Marino luis Vaquera
11368,46-0071-LPU22,9840,2023-05-24T10:00:00,1,27555,11581,BCC S.A.
11371,90-0002-LPU22,9650,2022-07-20T12:00:00,3,27461,11465,Turbodisel S.A.
11371,90-0002-LPU22,9650,2022-07-20T12:00:00,3,27454,12453,TRANSPORTES CESAR OBRAS VIALES Y CIVILES S.R.L.
11371,90-0002-LPU22,9650,2022-07-20T12:00:00,3,26374,13624,GADA S.A.
11374,501-0020-LPU22,9712,2022-10-14T12:00:00,2,27626,18196,Marego S.A.
11374,501-0020-LPU22,9712,2022-10-14T12:00:00,2,27618,11761,Hidraulica Norte S.A
11375,46-0082-LPU22,9645,2022-07-14T10:00:00,2,27439,11782,NAXOS KUT S.A.
11375,46-0082-LPU22,9645,2022-07-14T10:00:00,2,27450,11836,Vidogar Construcciones S.A.
11376,46-0083-LPU22,9647,2022-07-19T10:00:00,5,27456,11579,Romero Cammisa Construcciones S.A.
11376,46-0083-LPU22,9647,2022-07-19T10:00:00,5,27457,11604,Check Full Group Srl
11376,46-0083-LPU22,9647,2022-07-19T10:00:00,5,27448,11763,BGH SOCIEDAD ANONIMA
11376,46-0083-LPU22,9647,2022-07-19T10:00:00,5,27459,11734,Mateo constructora SRL
11376,46-0083-LPU22,9647,2022-07-19T10:00:00,5,26400,11650,TECNIPISOS S.A.
11378,46/19-0086-LPU22,9633,2022-06-10T12:00:00,3,27401,11508,PEITEL S.A.
11378,46/19-0086-LPU22,9633,2022-06-10T12:00:00,3,27404,11878,Nelson Oscar Pecci
11378,46/19-0086-LPU22,9633,2022-06-10T12:00:00,3,26394,18592,Bladimir Damiÿn
11380,46/2-0088-LPU22,9655,2022-07-29T12:00:00,1,27478,14020,INGENIERIA Y CONSTRUCCIONES ELECTRICAS SA
11381,46-0090-LPU22,9709,2022-10-13T10:00:00,3,27593,11496,EBBEKE SA
11381,46-0090-LPU22,9709,2022-10-13T10:00:00,3,27621,11493,DARIO IGNACIO BORYSIUK
11381,46-0090-LPU22,9709,2022-10-13T10:00:00,3,27623,11519,ISOLUX INGENIERIA S.A.
11382,46-0091-LPU22,9710,2022-10-13T12:00:00,2,27622,11493,DARIO IGNACIO BORYSIUK
11382,46-0091-LPU22,9710,2022-10-13T12:00:00,2,27594,11496,EBBEKE SA
11383,501-0022-LPU22,9770,2023-01-19T12:00:00,2,27702,11496,EBBEKE SA
11383,501-0022-LPU22,9770,2023-01-19T12:00:00,2,27736,11841,DOIO SA
11384,46/19-0092-LPU22,9637,2022-06-21T12:00:00,2,27410,11690,carcereny construcciones s.a.
